,nb_etab2008,nb_etab2009,nb_etab2010,nb_etab2011,nb_etab2012,eff2008,eff2009,eff2010,eff2011,eff2012,v étab 2008-2009,v étab 2008-2010,v étab 2008-2011,v étab 2008-2012,Taux d'acc 2008-2009,Taux d'acc 2008-2010,Taux d'acc 2008-2011,Taux d'acc 2008-2012,v eff 2008-2009,v eff 2008-2010,v eff 2008-2011,v eff 2008-2012,Taux d'acc 2008-2009,Taux d'acc 2008-2010,Taux d'acc 2008-2011,Taux d'acc 2008-2012
AGRO,3034,3048,3026,3002,2953,61153,60469,60419,60623,59384,14,-8,-32,-81,0.5%,-0.3%,-2.7%,-2.7%,-684,-734,-530,-1769,-1.1%,-1.2%,-0.9%,-2.9%
,,,,,,7.8%,7.9%,7.8%,7.7%,7.6%,,,,,,,,,,,,,,,,
AUTO,93,97,96,100,91,10727,9250,8336,8241,8080,4,3,7,-2,4.3%,3.2%,-2.2%,-2.2%,-1477,-2391,-2486,-2647,-13.8%,-22.3%,-23.2%,-24.7%
,,,,,,1.4%,1.2%,1.1%,1.1%,1.0%,,,,,,,,,,,,,,,,
NUMERIQUE,1187,1180,1188,1214,1238,33528,32226,31838,32302,32362,-7,1,27,51,-0.6%,0.1%,4.3%,4.3%,-1302,-1690,-1226,-1166,-3.9%,-5.0%,-3.7%,-3.5%
,,,,,,4.3%,4.2%,4.1%,4.1%,4.2%,,,,,,,,,,,,,,,,
Total,,,,,," 	785,784   "," 	770,221   "," 	776,962   "," 	783,718   "," 	776,367   ",,,,,,,,,,,,,,,,
,,,,,,,,,,,Taux d'acc 2008-2009,Taux d'acc 2008-2010,Taux d'acc 2008-2011,Taux d'acc 2008-2012,,,,,,,,,,,,
,,,,,,,,,,,-1.98%,-1.12%,-0.26%,-1.20%,,,,,,,,,,,,
