,nb_etab2008,nb_etab2009,nb_etab2010,nb_etab2011,nb_etab2012,eff2008,eff2009,eff2010,eff2011,eff2012,v étab 2008-2009,v étab 2008-2010,v étab 2008-2011,v étab 2008-2012,Taux d'acc 2008-2009,Taux d'acc 2008-2010,Taux d'acc 2008-2011,Taux d'acc 2008-2012,v eff 2008-2009,v eff 2008-2010,v eff 2008-2011,v eff 2008-2012,Taux d'acc 2008-2009,Taux d'acc 2008-2010,Taux d'acc 2008-2011,Taux d'acc 2008-2012
AGRO,761,772,778,770,741,14511,14468,14962,15396,15559,11,17,9,-20,1.4%,2.2%,-2.6%,-2.6%,-43,451,885,1048,-0.3%,3.1%,6.1%,7.2%
,,,,,,5.0%,5.1%,5.2%,5.3%,5.3%,,,,,,,,,,,,,,,,
AUTO,41,41,39,39,38,9475,8118,7261,7141,6978,0,-2,-2,-3,0.0%,-4.9%,-7.3%,-7.3%,-1357,-2214,-2334,-2497,-14.3%,-23.4%,-24.6%,-26.4%
,,,,,,3.3%,2.8%,2.5%,2.4%,2.4%,,,,,,,,,,,,,,,,
NUMERIQUE,523,533,546,560,576,18272,17650,17670,18243,18767,10,23,37,53,1.9%,4.4%,10.1%,10.1%,-622,-602,-29,495,-3.4%,-3.3%,-0.2%,2.7%
,,,,,,6.3%,6.2%,6.1%,6.2%,6.4%,,,,,,,,,,,,,,,,
,,,,,,290264,285186,289003,293167,291770,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
