R¨¦gion,Code Insee,Commune,Latitude,Longitude,nb_etab2008,nb_etab2009,nb_etab2010,nb_etab2011,nb_etab2012,eff2008,eff2009,eff2010,eff2011,eff2012,v ¨¦tab 2008-2009,v ¨¦tab 2008-2010,v ¨¦tab 2008-2011,v ¨¦tab 2008-2012,v eff 2008-2009,v eff 2008-2010,v eff 2008-2011,v eff 2008-2012
BRETAGNE,35139, LAILLE,47.983333,-1.716667,2,2,2,2,2,17,17,16,18,16,0,0,0,0,0,-1,1,-1
BRETAGNE,35143, LANDUJAN,48.25,-2,0,1,1,1,1,0,2,2,2,3,1,1,1,1,2,2,2,3
BRETAGNE,35145, LANGON,47.716667,-1.85,2,2,2,1,1,303,303,303,200,201,0,0,-1,-1,0,0,-103,-102
BRETAGNE,35149, LASSY,47.983333,-1.866667,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1
BRETAGNE,35152, LIFFRE,48.216667,-1.5,5,6,7,6,7,20,19,23,26,33,1,2,1,2,-1,3,6,13
BRETAGNE,35155, LOHEAC,47.866667,-1.883333,1,0,1,1,0,1,0,1,1,0,-1,0,0,-1,-1,0,0,-1
BRETAGNE,35156, LONGAULNAY,48.3,-1.933333,1,1,1,1,1,3,2,3,5,3,0,0,0,0,-1,0,2,0
BRETAGNE,35165, MARCILLE-ROBERT,47.95,-1.366667,1,1,1,1,1,2,2,2,2,2,0,0,0,0,0,0,0,0
BRETAGNE,35168, MAURE-DE-BRETAGNE,47.9,-1.983333,0,0,0,1,1,0,0,0,1,1,0,0,1,1,0,0,1,1
BRETAGNE,35169, MAXENT,47.983333,-2.033333,0,0,0,1,1,0,0,0,1,1,0,0,1,1,0,0,1,1
BRETAGNE,35173, MELESSE,48.216667,-1.7,0,0,1,1,1,0,0,1,1,1,0,1,1,1,0,1,1,1
BRETAGNE,35176, MESSAC,47.816667,-1.8,1,1,2,1,1,3,3,4,3,3,0,1,0,0,0,1,0,0
BRETAGNE,35177, MEZIERE,48.216667,-1.75,2,2,2,2,2,20,17,16,16,13,0,0,0,0,-3,-4,-4,-7
BRETAGNE,35179, MINIAC-MORVAN,48.516667,-1.9,3,3,3,3,3,87,77,60,56,60,0,0,0,0,-10,-27,-31,-27
BRETAGNE,35184, MONTAUBAN-DE-BRETAGNE,48.2,-2.05,3,2,2,2,2,168,178,171,184,177,-1,-1,-1,-1,10,3,16,9
BRETAGNE,35188, MONTFORT-SUR-MEU,48.133333,-1.966667,1,0,0,0,0,1,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1
BRETAGNE,35189, MONTGERMONT,48.15,-1.716667,3,3,4,4,4,56,54,64,62,59,0,1,1,1,-2,8,6,3
BRETAGNE,35195, MONTREUIL-SUR-ILLE,48.3,-1.666667,1,0,0,0,0,3,0,0,0,0,-1,-1,-1,-1,-3,-3,-3,-3
BRETAGNE,35204, NOUVOITOU,48.05,-1.55,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
BRETAGNE,35206, NOYAL-CHATILLON-SUR-SEICHE,48.416667,-1.633333,2,1,3,3,4,23,23,42,57,81,-1,1,1,2,0,19,34,58
BRETAGNE,35207, NOYAL-SUR-VILAINE,48.116667,-1.516667,0,1,2,4,2,0,1,2,8,5,1,2,4,2,1,2,8,5
BRETAGNE,35208, ORGERES,48,-1.666667,1,1,1,1,1,5,5,5,5,5,0,0,0,0,0,0,0,0
BRETAGNE,35210, PACE,48.15,-1.766667,14,14,15,16,16,171,161,160,157,180,0,1,2,2,-10,-11,-14,9
BRETAGNE,35211, PAIMPONT,48.016667,-2.183333,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1
BRETAGNE,35215, PARIGNE,48.433333,-1.2,1,1,0,0,0,2,3,0,0,0,0,-1,-1,-1,1,-2,-2,-2
BRETAGNE,35217, PERTRE,48.033333,-1.033333,1,1,1,1,1,22,22,22,30,26,0,0,0,0,0,0,8,4
