,nb_etab2008,nb_etab2009,nb_etab2010,nb_etab2011,nb_etab2012,eff2008,eff2009,eff2010,eff2011,eff2012,v étab 2008-2009,v étab 2008-2010,v étab 2008-2011,v étab 2008-2012,Taux d'acc 2008-2009,Taux d'acc 2008-2010,Taux d'acc 2008-2011,Taux d'acc 2008-2012,v eff 2008-2009,v eff 2008-2010,v eff 2008-2011,v eff 2008-2012,Taux d'acc 2008-2009,Taux d'acc 2008-2010,Taux d'acc 2008-2011,Taux d'acc 2008-2012
AGRO,720,715,710,709,705,15412,14955,14681,14802,14080,-5,-10,-11,-15,-0.7%,-1%,-2.1%,-2%,-457,-731,-610,-1332,-3.0%,-4.7%,-4.0%,-8.6%
,,,,,,9.5%,9.4%,9.1%,9.1%,8.8%,,,,,,,,,,,,,,,,
AUTO,15,16,18,21,19,155,138,143,150,149,1,3,6,4,6.7%,20%,26.7%,27%,-17,-12,-5,-6,-11.0%,-7.7%,-3.2%,-3.9%
,,,,,,0.1%,0.1%,0.1%,0.1%,0.1%,,,,,,,,,,,,,,,,
NUMERIQUE,199,193,193,204,205,3115,2958,2913,2918,3008,-6,-6,5,6,-3.0%,-3%,3.0%,3%,-157,-202,-197,-107,-5.0%,-6.5%,-6.3%,-3.4%
,,,,,,1.9%,1.9%,1.8%,1.8%,1.9%,,,,,,,,,,,,,,,,
,,,,,,162753,159057,161752,163014,160296,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
