Region,Code Insee,Communue,Latitude,Longitude,nb_etab2008,nb_etab2009,nb_etab2010,nb_etab2011,nb_etab2012,eff2008,eff2009,eff2010,eff2011,eff2012,v ¨¦tab 2008-2009,v ¨¦tab 2008-2010,v ¨¦tab 2008-2011,v ¨¦tab 2008-2012,v eff 2008-2009,v eff 2008-2010,v eff 2008-2011,v eff 2008-2012
BRETAGNE,29159, PEUMERIT,47.933333,-4.3,1,0,0,0,0,1,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1
BRETAGNE,29160, PLABENNEC,48.5,-4.433333,2,1,1,1,1,3,1,2,2,3,-1,-1,-1,-1,-2,-1,-1,0
BRETAGNE,29161, PLEUVEN,47.9,-4.033333,1,1,1,1,1,14,14,14,16,16,0,0,0,0,0,0,2,2
BRETAGNE,29170, PLOMELIN,47.933333,-4.15,1,1,1,1,1,5,4,1,1,1,0,0,0,0,-1,-4,-4,-4
BRETAGNE,29174, PLONEOUR-LANVERN,47.9,-4.283333,1,1,0,0,0,1,1,0,0,0,0,-1,-1,-1,0,-1,-1,-1
BRETAGNE,29175, PLONEVEZ-DU-FAOU,48.25,-3.833333,1,1,1,1,1,12,11,11,12,10,0,0,0,0,-1,-1,0,-2
BRETAGNE,29177, PLOUARZEL,48.433333,-4.733333,0,0,0,1,1,0,0,0,3,6,0,0,1,1,0,0,3,6
BRETAGNE,29182, PLOUEGAT-GUERAND,48.616667,-3.666667,1,0,0,0,0,2,0,0,0,0,-1,-1,-1,-1,-2,-2,-2,-2
BRETAGNE,29188, PLOUGASNOU,48.7,-3.8,1,0,0,0,1,1,0,0,0,1,-1,-1,-1,0,-1,-1,-1,0
BRETAGNE,29189, PLOUGASTEL-DAOULAS,48.366667,-4.366667,2,2,2,2,2,10,9,11,9,9,0,0,0,0,-1,1,-1,-1
BRETAGNE,29190, PLOUGONVELIN,48.35,-4.716667,1,1,1,1,2,1,1,1,1,4,0,0,0,1,0,0,0,3
BRETAGNE,29191, PLOUGONVEN,48.516667,-3.716667,1,1,0,0,0,1,1,0,0,0,0,-1,-1,-1,0,-1,-1,-1
BRETAGNE,29207, PLOURIN-LES-MORLAOX,48.616667,-4.216667,1,1,1,1,1,8,7,7,7,6,0,0,0,0,-1,-1,-1,-2
BRETAGNE,29210, PLOUVORN,48.583333,-4.033333,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
BRETAGNE,29212, PLOUZANE,48.383333,-4.616667,7,5,9,10,13,212,171,189,182,191,-2,2,3,6,-41,-23,-30,-21
BRETAGNE,29215, PLOZEVET,47.983333,-4.416667,1,0,0,0,0,2,0,0,0,0,-1,-1,-1,-1,-2,-2,-2,-2
BRETAGNE,29216, PLUGUFFAN,47.983333,-4.183333,0,0,0,0,2,0,0,0,0,3,0,0,0,2,0,0,0,3
BRETAGNE,29220, PONT-L'ABBE,47.866667,-4.216667,1,1,1,3,3,1,1,1,3,3,0,0,2,2,0,0,2,2
