,nb_etab2008,nb_etab2009,nb_etab2010,nb_etab2011,nb_etab2012,eff2008,eff2009,eff2010,eff2011,eff2012,v étab 2008-2009,v étab 2008-2010,v étab 2008-2011,v étab 2008-2012,Taux d'acc 2008-2009,Taux d'acc 2008-2010,Taux d'acc 2008-2011,Taux d'acc 2008-2012,v eff 2008-2009,v eff 2008-2010,v eff 2008-2011,v eff 2008-2012,Taux d'acc 2008-2009,Taux d'acc 2008-2010,Taux d'acc 2008-2011,Taux d'acc 2008-2012
AGRO,816,810,809,798,794,16697,16618,16649,16573,16217,-6,-7,-18,-22,-0.7%,-0.9%,-2.7%,-2.7%,-79,-48,-124,-480,-0.5%,-0.3%,-0.7%,-2.9%
,,,,,,8.0%,8.2%,8.1%,8.1%,8.0%,,,,,,,,,,,,,,,,
AUTO,16,19,19,20,16,180,172,156,153,145,3,3,4,0,18.8%,18.8%,0.0%,0.0%,-8,-24,-27,-35,-4.4%,-13.3%,-15.0%,-19.4%
,,,,,,0.1%,0.1%,0.1%,0.1%,0.1%,,,,,,,,,,,,,,,,
NUMERIQUE,293,282,286,288,293,7468,7092,7021,7066,6716,-11,-7,-5,0,-3.8%,-2.4%,0.0%,0.0%,-376,-447,-402,-752,-5.0%,-6.0%,-5.4%,-10.1%
,,,,,,3.6%,3.5%,3.4%,3.4%,3.3%,,,,,,,,,,,,,,,,
,,,,,,207763,203335,204863,205476,203469,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
